709306574	20071126	200711	2007	2007.8932	USA	AMERICAN	USA																		0	051	051	05	1	3.4	8	1	8	-3.30687830687831	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171123064500	http://www.mysanantonio.com/opinion/commentary/article/Trump-s-Saudi-strategy-risks-more-Mideast-12378398.php
709306575	20071126	200711	2007	2007.8932	USA	UNITED STATES	USA																		1	051	051	05	1	3.4	4	1	4	-4.3046357615894	2	Washington, United States	US	USWA		47.3917	-121.571	WA	0								2	Washington, United States	US	USWA		47.3917	-121.571	WA	20171123064500	http://www.aginfo.net/index.cfm/report/id/Washington-State-Farm-Bureau-Report-38623
709306576	20161123	201611	2016	2016.8849											JPN	JAPAN	JPN								0	042	042	04	1	1.9	2	1	2	5.34904805077063	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20171123064500	https://www.horseracingnation.com/news/Breeders_Cup_winners_squaring_off_in_Hong_Kong_International_Races_123
709306577	20161123	201611	2016	2016.8849											JPN	JAPAN	JPN								0	042	042	04	1	1.9	8	1	8	5.34904805077063	0								1	Japan	JA	JA		36	138	JA	1	Hong Kong	HK	HK		22.25	114.166667	HK	20171123064500	https://www.horseracingnation.com/news/Breeders_Cup_winners_squaring_off_in_Hong_Kong_International_Races_123
709306578	20161123	201611	2016	2016.8849	COP	POLICE						COP													1	112	112	11	3	-2.0	10	1	10	-8.15602836879433	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	0								3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	20171123064500	https://caymannewsservice.com/2017/11/would-be-bike-thieves-target-police-station/comment-page-1/
709306579	20161123	201611	2016	2016.8849	COP	POLICE						COP			JPN	JAPAN	JPN								1	173	173	17	4	-5.0	3	1	3	-3.65111561866126	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Sapporo, Hokkaido, Japan	JA	JA12	34362	43.0547	141.354	-242395	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171123064500	http://www.newsonjapan.com/html/newsdesk/article/121708.php
709306580	20161123	201611	2016	2016.8849	IND	NEW DELHI	IND								ISRELIGOV	ARIEL SHARON	ISR					ELI	GOV		1	043	043	04	1	2.8	8	1	8	0	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	20171123064500	http://kashmirreader.com/2017/11/23/israeli-prime-minister-to-begin-4-day-india-trip-on-jan-14/
709306581	20161123	201611	2016	2016.8849	IRL	IRELAND	IRL								FRA	FRENCH	FRA								1	020	020	02	1	3.0	2	1	2	5.34904805077063	4	Navan, Meath, Ireland	EI	EI21	18299	53.6528	-6.68139	-1504827	4	Deauville, Basse-Normandie, France	FR	FR99	16249	49.3568	0.067724	-1423684	4	Deauville, Basse-Normandie, France	FR	FR99	16249	49.3568	0.067724	-1423684	20171123064500	https://www.horseracingnation.com/news/Breeders_Cup_winners_squaring_off_in_Hong_Kong_International_Races_123
709306582	20161123	201611	2016	2016.8849	IRL	IRELAND	IRL								FRA	FRENCH	FRA								1	020	020	02	1	3.0	2	1	2	5.34904805077063	4	Navan, Meath, Ireland	EI	EI21	18299	53.6528	-6.68139	-1504827	4	Navan, Meath, Ireland	EI	EI21	18299	53.6528	-6.68139	-1504827	4	Navan, Meath, Ireland	EI	EI21	18299	53.6528	-6.68139	-1504827	20171123064500	https://www.horseracingnation.com/news/Breeders_Cup_winners_squaring_off_in_Hong_Kong_International_Races_123
709306583	20161123	201611	2016	2016.8849	ISRELIGOV	ARIEL SHARON	ISR					ELI	GOV		IND	NEW DELHI	IND								1	036	036	03	1	4.0	8	1	8	0	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171123064500	http://kashmirreader.com/2017/11/23/israeli-prime-minister-to-begin-4-day-india-trip-on-jan-14/
709306584	20161123	201611	2016	2016.8849	ISRELIGOV	ARIEL SHARON	ISR					ELI	GOV		IND	NEW DELHI	IND								1	042	042	04	1	1.9	8	1	8	0	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	20171123064500	http://kashmirreader.com/2017/11/23/israeli-prime-minister-to-begin-4-day-india-trip-on-jan-14/
709306585	20161123	201611	2016	2016.8849	JPN	JAPAN	JPN																		0	043	043	04	1	2.8	2	1	2	5.34904805077063	1	Hong Kong	HK	HK		22.25	114.166667	HK	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	20171123064500	https://www.horseracingnation.com/news/Breeders_Cup_winners_squaring_off_in_Hong_Kong_International_Races_123
709306586	20161123	201611	2016	2016.8849	JPN	JAPAN	JPN																		0	043	043	04	1	2.8	8	1	8	5.34904805077063	1	Japan	JA	JA		36	138	JA	0								1	Hong Kong	HK	HK		22.25	114.166667	HK	20171123064500	https://www.horseracingnation.com/news/Breeders_Cup_winners_squaring_off_in_Hong_Kong_International_Races_123
709306587	20161123	201611	2016	2016.8849	MIL	MILITARY						MIL			UKR	UKRAINIAN	UKR								0	051	051	05	1	3.4	1	1	1	-2.38931834153197	4	Donbass, Ukraine (general), Ukraine	UP	UP00	25090	48.5	38.5	-1038077	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Donbass, Ukraine (general), Ukraine	UP	UP00	25090	48.5	38.5	-1038077	20171123064500	https://eadaily.com/en/news/2017/11/20/poland-turning-its-back-to-ukraine-view-from-warsaw
